Column1,Column2,1,2,3,4,5,6,7,,,,,,
G1 & G6,A,34627.00,17927.00,22004.00,13550.00,7932.00,7512.00,,,,,,,
G1 & G6,B,24504.00,12180.00,30102.00,11015.00,7575.00,7570.00,,,,,,,
G1 & G6,C,16659.00,15837.00,14547.00,14389.00,7566.00,7510.00,,,,,,,
G1 & G6,D,5123.00,6383.00,6328.00,6208.00,5890.00,5598.00,,,,,,,
G3 & G4,A,23791,11493,25966,16296,18072,8405,,,,,,,
G3 & G4,B,12869,15759,13060,12352,8089,7355,,,,,,,
G3 & G4,C,13439,14451,11052,21344,7808,7759,,,,,,,
G3 & G4,D,5124,6234,6210,6372,5988,5698,,,,,,,
G2 & G5,A,18450.00,8419.00,8353.00,11064.00,7853.00,7576.00,,,,,,,
G2 & G5,B,17330.00,8895.00,11415.00,10611.00,6872.00,6924.00,,,,,,,
G2 & G5,C,18825.00,9208.00,13273.00,11576.00,7602.00,7059.00,,,,,,,
G2 & G5,D,3352.00,3778.00,3623.00,3697.00,3392.00,3657.00,,,,,,,
G7 & G8,A,30321,26294,31229,24610,16760,16966,,,,,,,
G7 & G8,B,26109,24648,33692,24298,16466,16576,,,,,,,
G7 & G8,C,25884,26032,31368,10747,25180,16600,,,,,,,
G7 & G8,D,8439,11601,11860,11709,11547,11014,,,,,,,
G9 & G10,A,36458,36458,30636,33722,18428,15796,,,,,,,
G9 & G10,B,30636,27238,26653,24840,15677,15732,,,,,,,
G9 & G10,C,33722,24679,27440,29576,17636,16029,,,,,,,
G9 & G10,D,10209,11780,11877,11958,11535,11060,,,,,,,
G11 & G12,A,11604.00,7627.00,9244.00,21260.00,7823.00,7518.00,,,,,,,
G11 & G12,B,9389.00,10029.00,11389.00,10121.00,7126.00,7083.00,,,,,,,
G11 & G12,C,11896.00,9730.00,11513.00,12816.00,7340.00,6366.00,,,,,,,
G11 & G12,D,5051.00,6025.00,6192.00,6178.00,6041.00,5663.00,,,,,,,
G13 & G14,A,38457,24272,41539,27435,17136,15793,,,,,,,
G13 & G14,B,35900,22928,35579,24536,16373,15785,,,,,,,
G13 & G14,C,40204,26195,31280,25451,15912,15925,,,,,,,
G13 & G14,D,10209,11880,11888,11873,11499,10865,,,,,,,
G15 & G16,A,23613,22379,21610,20943,16700,16714,,,,,,,
G15 & G16,B,29290,18784,25709,16865,15339,15493,,,,,,,
G15 & G16,C,29640,18268,22490,20906,17248,15835,,,,,,,
G15 & G16,D,9942,11275,11282,11604,11060,10401,,,,,,,
G17 & G18,A,14487.00,17877.00,19027.00,13374.00,6962.00,7154.00,,,,,,,
G17 & G18,B,20929.00,19935.00,15365.00,11442.00,6320.00,7438.00,,,,,,,
G17 & G18,C,17078.00,10637.00,11140.00,8964.00,6585.00,6312.00,,,,,,,
G17 & G18,D,3128.00,3224.00,2966.00,3079.00,3060.00,3023.00,,,,,,,
G19 & G20,A,38524,28845,33288,24640,16856,16700,,,,,,,
G19 & G20,B,32210,26978,32359,26345,15576,15843,,,,,,,
G19 & G20,C,36740,23263,30560,26397,14521,15643,,,,,,,
G19 & G20,D,9662,12058,12024,12296,11420,11021,,,,,,,
G21 & G22,A,29612.00,21300.00,27843.00,22330.00,21828.00,17076.00,,,,,,,
G21 & G22,B,61966.00,20445.00,27854.00,21036.00,19489.00,15672.00,,,,,,,
G21 & G22,C,28479.00,20168.00,26171.00,20796.00,20669.00,16046.00,,,,,,,
G21 & G22,D,9912.00,11984.00,11892.00,11603.00,11342.00,10693.00,,,,,,,
G23 & G24,A,17008,35911,19686,15014,8990,8880,,,,,,,
G23 & G24,B,16622,20215,16652,12436,8731,8547,,,,,,,
G23 & G24,C,24113,14631,13966,12738,8739,8610,,,,,,,
G23 & G24,D,5257,6173,6182,6487,6392,6385,,,,,,,
G25 & G26,A,14492.00,10840.00,12788.00,9831.00,7804.00,7115.00,,,,,,,
G25 & G26,B,23512.00,11316.00,11282.00,8790.00,7223.00,7047.00,,,,,,,
G25 & G26,C,16175.00,11909.00,11855.00,9657.00,7580.00,7080.00,,,,,,,
G25 & G26,D,4948.00,5840.00,5840.00,6105.00,5741.00,5298.00,,Group 29,,,,,
G31 & G32,A,,,,,,,,14233,16223,14834,18137,8184,8243
G31 & G32,B,,,,,,,,15224,15675,14310,14764,7138,7388
G31 & G32,C,,,,,,,,15824,14569,13956,16100,7630,7530
G31 & G32,D,,,,,,,,5113,6235,6373,6576,6276,6296
G33 & G34,A,,,,,,,,,,,,,
G33 & G34,B,,,,,,,,,,,,,
G33 & G34,C,,,,,,,,,,,,,
G33 & G34,D,,,,,,,,,,,,,
G35 & G36,A,,,,,,,,,,,,,
G35 & G36,B,,,,,,,,,,,,,
G35 & G36,C,,,,,,,,,,,,,
G35 & G36,D,,,,,,,,Group 38,,,,,
G37 & G38,A,12014.00,11877.00,12123.00,13094.00,7513.00,7600.00,,27865,20424,21438,12827,10817,16805
G37 & G38,B,11904.00,10802.00,12475.00,8618.00,6792.00,7092.00,,20595,19657,16766,17935,16916,16093
G37 & G38,C,11092.00,11772.00,10353.00,12608.00,7295.00,7268.00,,22980,24544,9861,18322,15582,13767
G37 & G38,D,5202.00,6220.00,6292.00,6528.00,6271.00,6378.00,,5125,6176,6124,6042,5922,5625
G39 & G40,A,38561,28336,30145,23671.00,17463.00,17759.00,,,,,,,
G39 & G40,B,37367,26027,31724,21644.00,15728.00,16666.00,,,,,,,
G39 & G40,C,39881,25238,29331,29749.00,16550.00,16428.00,,,,,,,
G39 & G40,D,10368,12064,12436,12684.00,12087.00,12126.00,,,,,,,
G41 & G42,A,,,,,,,,,,,,,
G41 & G42,B,,,,,,,,,,,,,
G41 & G42,C,,,,,,,,,,,,,
G41 & G42,D,,,,,,,,,,,,,
G43 & G44,A,8815.00,9190.00,15488.00,10082.00,7132.00,7292.00,,,,,,,
G43 & G44,B,10984.00,8587.00,39905.00,8853.00,6625.00,7056.00,,,,,,,
G43 & G44,C,12752.00,9593.00,10451.00,10062.00,6917.00,6992.00,,,,,,,
G43 & G44,D,4996.00,6030.00,6169.00,6072.00,5961.00,5644.00,,,,,,,
G45 & G46,A,19650,16800,19412,16200,9407,10162,,,,,,,
G45 & G46,B,13877,25228,15710,12262,8557,9172,,,,,,,
G45 & G46,C,38372,13592,13745,12570,8727,8335,,,,,,,
G45 & G46,D,5307,6202,6212,6273,6020,5636,,,,,,,
G47 & G48,A,14123.00,13472.00,12156.00,9709.00,7772.00,7869.00,,,,,,,
G47 & G48,B,11464.00,14216.00,12207.00,8944.00,7203.00,7318.00,,,,,,,
G47 & G48,C,12448.00,12931.00,11744.00,9034.00,7401.00,7463.00,,,,,,,
G47 & G48,D,5016.00,6152.00,6178.00,6145.00,5974.00,5576.00,,,,,,,
G49 & G50,A,23613,19479,24812,14636,12403,13661,,,,,,,
G49 & G50,B,25132,14314,23496,13515,11352,12438,,,,,,,
G49 & G50,C,28418,15320,19620,17090,11132,12882,,,,,,,
G49 & G50,D,10388,12078,12282,12542,12090,12317,,,,,,,
G51 & G52,A,15186,14556,14245,9579,8041,7595,,,,,,,
G51 & G52,B,13372,32334,13273,8648,7285,7625,,,,,,,
G51 & G52,C,14874,12532,12771,8290,7320,7424,,,,,,,
G51 & G52,D,4856,5789,5880,5947,5794,5447,,,,,,,
G53 & G54,A,20704,26892,30094,19245,18405,15172,,,,,,,
G53 & G54,B,20100,24175,21015,18925,15552,15439,,,,,,,
G53 & G54,C,31532,22428,20990,25060,15256,15349,,,,,,,
G53 & G54,D,9588,11068,11233,11276,10884,10408,,,,,,,
G55 & G56,A,30313,22457,24683,16209,14963,15068,,,,,,,
G55 & G56,B,23831,19824,21874,19026,14141,14078,,,,,,,
G55 & G56,C,27767,20124,24080,15563,14305,14457,,,,,,,
