Column1,Treatment,RawCounts,CellConcentration,Numberofcellsin20uLsample,Proportionoftotalcells(%)
G1&G2,"healthy,alive",58,1160000,23200,77.00%
G1&G2,"healthy,dead",17,340000,6800,23.00%
G1&G2,"disease,alive",5,100000,2000,77.00%
G1&G2,"disease,dead",1.5,30000,600,23.00%
G3&G4,"healthy,alive",52,1040000,20800,80.00%
G3&G4,"healthy,dead",13,260000,5200,20.00%
G3&G4,"disease,alive",55,1100000,22000,66.00%
G3&G4,"disease,dead",28,560000,11200,34.00%
G5&G6,"healthy,alive",52,1040000,20800,80.00%
G5&G6,"healthy,dead",13,260000,5200,20.00%
G5&G6,"disease,alive",54.75,1095000,21900,73.99%
G5&G6,"disease,dead",19.25,385000,7700,26.01%
G7&G8,"healthy,alive",152,760000,15200,98.00%
G7&G8,"healthy,dead",3,1500,300,2.00%
G7&G8,"disease,alive",59,295000,5900,91.00%
G7&G8,"disease,dead",6,30000,600,9.00%
G9&G10,"healthy,alive",36.75,735000,14700,77.78%
G9&G10,"healthy,dead",10.5,210000,4200,22.22%
G9&G10,"disease,alive",0.25,5000,100,3.85%
G9&G10,"disease,dead",6.25,125000,2500,96.15%
G11&G12,"healthy,alive",54.25,1085000,21700,91.9
G11&G12,"healthy,dead",4.75,95000,1900,8.1
G11&G12,"disease,alive",21.5,430000,8600,71.7
G11&G12,"disease,dead",8.5,170000,3400,28.3
G13&G14,"healthy,alive",113,2220000,44400,97.00%
G13&G14,"healthy,dead",3,60000,1200,3.00%
G13&G14,"disease,alive",116,2320000,46400,88.00%
G13&G14,"disease,dead",16,320000,6400,12.00%
G15&G16,"healthy,alive",54,1080000,21600,93.9
G15&G16,"healthy,dead",3.5,70000,1400,6.1
G15&G16,"disease,alive",44.75,935000,18700,80.6
G15&G16,"disease,dead",11.25,225000,4500,19.4
G17&G18,"healthy,alive",131,2620000,26200,98.12
G17&G18,"healthy,dead",2.5,50000,500,1.87
G17&G18,"disease,alive",55.75,1115000,11150,83.52
G17&G18,"disease,dead",11,220000,2200,16.48
G19&G20,"healthy,alive",49.75,497500,9950,93.86%
G19&G20,"healthy,dead",3.25,32500,650,6.13%
G19&G20,"disease,alive",24.5,245000,4900,73.13%
G19&G20,"disease,dead",9,90000,1800,26.86%
G21&G22,"healthy,alive",74.25,1485000,29700,93.69
G21&G22,"healthy,dead",5,100000,2000,6.31
G21&G22,"disease,alive",66.5,1330000,26600,81.1
G21&G22,"disease,dead",15.5,310000,6200,18.9
G23&G24,"healthy,alive",,,,
G23&G24,"healthy,dead",,,,
G23&G24,"disease,alive",,,,
G23&G24,"disease,dead",,,,
G25&G26,"healthy,alive",88.75,1775000,35500,95.00%
G25&G26,"healthy,dead",4.25,85000,1700,5.00%
G25&G26,"disease,alive",80,1600000,32000,81.00%
G25&G26,"disease,dead",18.5,370000,7400,19.00%
G29&G30,"healthy,alive",59,1180000,23600,93.70%
G29&G30,"healthy,dead",4,80000,1600,6.30%
G29&G30,"disease,alive",97.25,1945000,38900,84.00%
G29&G30,"disease,dead",18.5,370000,7400,16.00%
G37&G38,"healthy,alive",,,,
G37&G38,"healthy,dead",,,,
G37&G38,"disease,alive",,,,
G37&G38,"disease,dead",,,,
G39&G40,"healthy,alive",,,,
G39&G40,"healthy,dead",,,,
G39&G40,"disease,alive",,,,
G39&G40,"disease,dead",,,,
G41&G42,"healthy,alive",57.25,1145000,22900,97.90%
G41&G42,"healthy,dead",1.25,25000,500,2.10%
G41&G42,"disease,alive",9,180000,3600,22.22%
G41&G42,"disease,dead",2,40000,800,77.78%
G43&G44,"healthy,alive",46.5,930000,18600,95.39%
G43&G44,"healthy,dead",2.25,45000,900,4.61%
G43&G44,"disease,alive",47,940000,18800,82.82%
G43&G44,"disease,dead",9.75,195000,3900,17.18%
G45&G46,"healthy,alive",79,1580000,31600,94.60%
G45&G46,"healthy,dead",4.5,90000,1800,5.40%
G45&G46,"disease,alive",90.5,1810000,36200,81.20%
G45&G46,"disease,dead",21,420000,8400,18.80%
G47&G48,"healthy,alive",42.5,850000,17000,7084.00%
G47&G48,"healthy,dead",1.75,35000,7000,2916.00%
G47&G48,"disease,alive",13.75,275000,5500,6707.00%
G47&G48,"disease,dead",6.75,135000,2700,3293.00%
G49&G50,"healthy,alive",39.5,790000,15800,91.33%
G49&G50,"healthy,dead",3.75,75000,1500,8.67%
G49&G50,"disease,alive",47.25,945000,18900,71.05%
G49&G50,"disease,dead",19.25,385000,7700,28.95%
G51&G52,"healthy,alive",28.25,565000,11300,8821.00%
G51&G52,"healthy,dead",3.75,75000,1500,1179.00%
G51&G52,"disease,alive",53.75,1075000,21500,7904.00%
G51&G52,"disease,dead",14.25,285000,5700,2096.00%
G53&G54,"healthy,alive",39,780000,15600,92.90%
G53&G54,"healthy,dead",3,60000,1200,7.10%
G53&G54,"disease,alive",36,720000,14400,70.60%
G53&G54,"disease,dead",15,300000,6000,29.40%
G55&G56,"healthy,alive",26.75,535000,10700,94.70%
G55&G56,"healthy,dead",1.5,30000,600,5.30%
G55&G56,"disease,alive",9,180000,3600,61.00%
G55&G56,"disease,dead",5.75,115000,2300,39.00%
G57&G58,"healthy,alive",409,"8,180,000",163600,69.20%
