GROUP,Sample,0,10,20,30,40,50,60,70,80,90,100,110,120,rate of change,concentration change,amount TNB/s (M),amount TNB/s (nM),amount TNB/min (nM),protein concentration (ug/mL),protein amount
AM_G1 & G6,Negative control,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000000,,,,,0,0
AM_G1 & G6,Diseased cells - cytosolic fraction,0,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.0000170330,,,,,825.8015,41.29007279
AM_G1 & G6,Diseased cells - mitochondrial fraction,0,0,0,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.0000142857,,,,,989.9017,49.49508506
AM_G1 & G6,Diseased – 10 μM Respiranox cells - cytosolic fraction,0,0.005,0.002,0.008,0.006,0.003,0.002,0.002,0.001,0.001,0.001,0.002,0.001,-0.0000247253,,,,,402.9539,20.14769676
AM_G1 & G6,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,-0.001,0,0,0,0,0,0,0,0.001,0,0,0,0.0000043956,,,,,113.5655,5.67827677
AM_G1 & G6,Positive control,0,0,0.033,0.024,0.019,0.017,0.015,0.014,0.012,0.011,0.011,0.01,0.009,-0.0000219780,,,,,352,3.52
AM_G39 & G40,Negative control,-0.001,-0.001,-0.001,-0.002,-0.002,-0.002,-0.003,-0.003,-0.002,-0.003,-0.003,-0.003,-0.003,-0.0000186813,,,,,0,0
AM_G39 & G40,Diseased cells - cytosolic fraction,0.006,0.017,0.020,0.024,0.028,0.030,0.033,0.037,0.038,0.040,0.043,0.045,0.047,0.0003038462,,,,,163.1409,8.15704625
AM_G39 & G40,Diseased cells - mitochondrial fraction,0.043,0.065,0.090,0.119,0.142,0.153,0.158,0.161,0.164,0.167,0.168,0.169,0.171,0.0009868132,,,,,881.5051,44.07525351
AM_G39 & G40,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.012,0.024,0.030,0.035,0.039,0.043,0.045,0.047,0.050,0.052,0.054,0.056,0.057,0.0003313187,,,,,306.8138,15.3406877
AM_G39 & G40,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.016,-0.006,0.004,0.017,0.031,0.044,0.056,0.067,0.078,0.089,0.100,0.111,0.121,0.0011670330,,,,,-24.1104,-1.205519624
AM_G39 & G40,Positive control,0.086,0.131,0.158,0.173,0.182,0.186,0.191,0.192,0.191,0.191,0.190,0.189,0.190,0.0006153846,,,,,352,3.52
AM_G41 & G42,Negative control,0.000,0.000,0.000,-0.001,-0.001,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.0000021978,,,,,0,0
AM_G41 & G42,Diseased cells - cytosolic fraction,0.001,0.004,0.016,0.021,0.025,0.028,0.031,0.035,0.036,0.037,0.042,0.045,0.048,0.0003670330,,,,,95.5182,4.775911148
AM_G41 & G42,Diseased cells - mitochondrial fraction,0.020,0.045,0.067,0.091,0.110,0.134,0.158,0.165,0.166,0.168,0.169,0.170,0.171,0.0012708791,,,,,882.2250,44.1112494
AM_G41 & G42,Diseased – 10 μM Respiranox cells - cytosolic fraction,0.003,0.008,0.016,0.024,0.032,0.041,0.046,0.052,0.058,0.064,0.067,0.069,0.071,0.0006043956,,,,,-39.6360,-1.981798402
AM_G41 & G42,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0.000,0.004,0.018,0.035,0.045,0.054,0.067,0.074,0.084,0.096,0.103,0.112,0.121,0.0010368132,,,,,578.3234,28.91616839
AM_G41 & G42,Positive control,0.000,0.020,0.046,0.063,0.074,0.091,0.095,0.098,0.106,0.115,0.125,0.130,0.140,0.0010620879,,,,,352,3.52
AM_G43 & G44,Negative control,-0.043,-0.046,-0.049,-0.048,-0.048,-0.049,-0.049,-0.048,-0.048,-0.048,-0.047,-0.047,-0.047,-0.0000109890,,,,,0,0
AM_G43 & G44,Diseased cells - cytosolic fraction,-0.046,-0.046,-0.047,-0.049,-0.049,-0.049,-0.049,-0.050,-0.052,-0.053,-0.052,-0.053,-0.053,-0.0000637363,,,,,546.5417,27.32708501
AM_G43 & G44,Diseased cells - mitochondrial fraction,-0.023,-0.016,-0.005,0.005,0.017,0.029,0.043,0.055,0.066,0.077,0.088,0.098,0.106,0.0011296703,,,,,973.2473,48.66236266
AM_G43 & G44,Diseased – 10 μM Respiranox cells - cytosolic fraction,-0.044,-0.047,-0.048,-0.050,-0.050,-0.049,-0.046,-0.042,-0.036,-0.031,-0.031,-0.031,-0.032,0.0001714286,,,,,658.0733,32.90366603
AM_G43 & G44,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.046,-0.039,-0.028,-0.016,-0.003,0.009,0.019,0.030,0.038,0.045,0.052,0.059,0.065,0.0009681319,,,,,1084.7789,54.23894368
AM_G43 & G44,Positive control,-0.009,0.027,0.049,0.063,0.073,0.081,0.088,0.092,0.094,0.095,0.096,0.097,0.097,0.0007269231,,,,,352,3.52
AM_G45 & G46,Negative control,0.003,0.006,0.005,0.005,0.006,0.007,0.008,0.009,0.009,0.010,0.010,0.010,0.010,0.0000576923,,,,,0,0
AM_G45 & G46,Diseased cells - cytosolic fraction,0.006,0.017,0.020,0.024,0.028,0.030,0.033,0.037,0.038,0.040,0.043,0.045,0.047,0.0003038462,,,,,183.5340,9.176700869
