GROUP,Sample,0,10,20,30,40,50,60,70,80,90,100,110,120,rate of change,protein concentration (mg/mL),protein amount
AM_G57 & G58,Diseased – 10 μM Respiranox cells - mitochondrial fraction,0,0.001,0.008,0.007,0.007,0.006,0.005,-0.001,0.001,0.008,0.009,0.008,0.007,0.000035714,2.8008796,0.056017592
AM_G57 & G58,Diseased cells - cytosolic fraction,0,-0.006,-0.001,0.001,0.002,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.000024725,2.792897,0.05585794
AM_G57 & G58,Diseased cells - mitochondrial fraction,0,-0.004,0.009,0.01,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.000031319,2.7920101,0.055840202
AM_G57 & G58,Diseased – 10 μM Respiranox cells - cytosolic fraction,0,-0.005,0.008,0.007,0.008,0.002,0.001,-0.001,-0.002,-0.001,0,0.001,0,-0.000026923,2.7849145,0.05569829
AM_G43 & G44,Diseased – 10 μM Respiranox cells - mitochondrial fraction,-0.046,-0.039,-0.028,-0.016,-0.003,0.009,0.019,0.03,0.038,0.045,0.052,0.059,0.065,0.000968132,1.0847789,0.021695578
AM_G1 & G6,Diseased cells - mitochondrial fraction,0,0,0,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.000014286,0.9899017,0.019798034
AM_G43 & G44,Diseased cells - mitochondrial fraction,-0.023,-0.016,-0.005,0.005,0.017,0.029,0.043,0.055,0.066,0.077,0.088,0.098,0.106,0.00112967,0.9732473,0.019464946
AM_G41 & G42,Diseased cells - mitochondrial fraction,0.02,0.045,0.067,0.091,0.11,0.134,0.158,0.165,0.166,0.168,0.169,0.17,0.171,0.001270879,0.882225,0.0176445
AM_G39 & G40,Diseased cells - mitochondrial fraction,0.043,0.065,0.09,0.119,0.142,0.153,0.158,0.161,0.164,0.167,0.168,0.169,0.171,0.000986813,0.8815051,0.017630102
AM_G1 & G6,Positive control,0,0,0.033,0.024,0.019,0.017,0.015,0.014,0.012,0.011,0.011,0.01,0.009,-0.000021978,0.352,0.0176
AM_G39 & G40,Positive control,0.086,0.131,0.158,0.173,0.182,0.186,0.191,0.192,0.191,0.191,0.19,0.189,0.19,0.000615385,0.352,0.0176
AM_G41 & G42,Positive control,0,0.02,0.046,0.063,0.074,0.091,0.095,0.098,0.106,0.115,0.125,0.13,0.14,0.001062088,0.352,0.0176
AM_G43 & G44,Positive control,-0.009,0.027,0.049,0.063,0.073,0.081,0.088,0.092,0.094,0.095,0.096,0.097,0.097,0.000726923,0.352,0.0176
AM_G45 & G46,Positive control,0.022,0.08,0.11,0.129,0.142,0.151,0.159,0.164,0.17,0.174,0.178,0.181,0.184,0.001073077,0.352,0.0176
AM_G47 & G48,Positive control,-0.012,0.003,0.016,0.027,0.036,0.044,0.05,0.058,0.064,0.07,0.075,0.08,0.086,0.000773626,0.352,0.0176
AM_G57 & G58,Positive control,0,0.041,0.028,0.021,0.013,0.004,0.003,0.007,0.005,0.004,0.004,0.004,0.004,-0.000176374,0.352,0.0176
AM_G59 & G60,Positive control,0.055,0.089,0.109,0.121,0.128,0.134,0.138,0.141,0.143,0.145,0.146,0.147,0.147,0.000603846,0.352,0.0176
PM_G3 & G4,Positive control,0.027,0.084,0.119,0.141,0.164,0.169,0.177,0.184,0.19,0.195,0.2,0.203,0.205,0.001217582,0.352,0.0176
PM_G7 & G8,Positive control,-0.013,-0.003,0.013,0.031,0.049,0.067,0.083,0.1,0.113,0.125,0.136,0.145,0.153,0.001467582,0.352,0.0176
PM_G9 & G10,Positive control,0.007,-0.003,0.003,0.012,0.016,0.016,0.016,0.016,0.017,0.018,0.019,0.02,0.021,0.000155495,0.352,0.0176
PM_G11 & G12,Positive control,-0.018,0.019,0.044,0.061,0.073,0.08,0.086,0.092,0.095,0.099,0.103,0.106,0.108,0.000877473,0.352,0.0176
2025_G1 & G2,Positive control,0.178,0.408,0.498,0.544,0.58,0.61,0.637,0.663,0.688,0.708,0.727,0.745,0.76,0.003765934,0.352,0.0176
2025_G3 & G4,Positive control,0.201,0.469,0.463,0.495,0.522,0.61,0.701,0.67,0.667,0.701,0.669,0.857,0.851,0.004191703,0.352,0.0176
2025_G5 & G6,Positive control,0.193,0.549,0.505,0.54,0.579,0.555,0.68,0.67,0.774,0.827,0.702,1.02,0.826,0.004562933,0.352,0.0176
2025_G7 & G8,Positive control,0.218,0.598,0.55,0.486,0.684,0.6,0.619,0.777,0.875,0.744,0.815,0.969,0.85,0.004416221,0.352,0.0176
2025_G9 & G10,Positive control,0.201,0.61,0.517,0.476,0.643,0.695,0.705,0.909,0.988,0.789,0.912,0.872,0.969,0.005134253,0.352,0.0176
2025_G11 & G12,Positive control,0.183,0.549,0.548,0.543,0.63,0.647,0.635,1.081,0.919,0.876,1.095,0.793,1.105,0.006019218,0.352,0.0176
2025_G13 & G14,Positive control,0.19,0.538,0.537,0.581,0.661,0.679,0.622,0.995,1.011,0.902,1.029,0.777,1.039,0.005624648,0.352,0.0176
2025_G15 & G16,Positive control,0.18,0.587,0.494,0.644,0.794,0.659,0.721,0.955,1.021,0.839,1.081,0.754,1.039,0.005312104,0.352,0.0176
2025_G17 & G18,Positive control,0.166,0.581,0.578,0.58,0.913,0.705,0.743,0.946,1.021,0.956,1.232,0.807,1.132,0.006115327,0.352,0.0176
2025_G43 & G44,Positive control,0.149,0.622,0.578,0.58,0.885,0.691,0.892,0.993,1.103,1.1,1.22,0.847,1.223,0.006830844,0.352,0.0176
2025_G45 & G46,Positive control,0.145,0.696,0.625,0.545,0.991,0.808,0.802,0.923,1.257,1.21,1.403,0.957,1.113,0.007069706,0.352,0.0176
2025_G47 & G48,Positive control,0.144,0.64,0.65,0.589,1.031,0.743,0.827,1.034,1.471,1.367,1.501,1.015,1.157,0.00816802,0.352,0.0176
2025_G49 & G50,Positive control,0.151,0.698,0.682,0.707,1.041,0.721,0.876,1.086,1.589,1.477,1.531,1.177,1.053,0.008228083,0.352,0.0176
2025_G51 & G52,Positive control,0.146,0.635,0.778,0.742,1.229,0.707,0.876,1.042,1.637,1.521,1.837,1.224,0.948,0.008505922,0.352,0.0176
2025_G53 & G54,Positive control,0.134,0.572,0.925,0.697,1.217,0.82,1.016,1.241,1.506,1.688,1.763,1.408,0.995,0.009158982,0.352,0.0176
2025_G55 & G56,Positive control,0.159,0.669,0.953,0.69,1.229,0.836,1.006,1.141,1.792,1.722,1.781,1.422,0.906,0.008837876,0.352,0.0176
2025_G57 & G58,Positive control,0.151,0.676,0.991,0.649,1.106,0.953,0.966,1.233,1.899,1.963,2.119,1.649,1.024,0.011223459,0.352,0.0176
2025_G59 & G60,Positive control,0.154,0.676,1.011,0.688,1.217,1.125,0.879,1.208,1.747,2.277,1.908,1.765,1.198,0.011652135,0.352,0.0176
AM_G59 & G60,Diseased cells - mitochondrial fraction,-0.032,-0.016,0.001,0.017,0.033,0.048,0.064,0.079,0.094,0.109,0.123,0.138,0.153,0.001536813,0.8282874,0.016565748
